city,state_code,police_force_size,all,white,non_white,black,hispanic,asian,lat,lon,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,killings,police_force_prop,count_american_indian_and_alaska_native,count_white,count_hispanic_or_latino,count_black_or_african_american,count_asian,race_prop_american_indian_and_alaska_native,race_prop_white,race_prop_hispanic_or_latino,race_prop_black_or_african_american,race_prop_asian
new york,NY,32300,0.617956656,0.446386555,0.764418938,0.770891365,0.762860728,0.749235474,40.74838,-73.996705,New York,36,4081698,4468707,8550405,156961,3212500,2.68,4,0.0037775988388854096,90923,3835726,2485125,2192248,1304564,0.010633765301175793,0.44860167442360915,0.29064412738343975,0.25639113001080066,0.15257335763627572
chicago,IL,12120,0.875,0.871962617,0.877400295,0.89740566,0.83982684,0.966666667,41.885847,-87.618123,Illinois,34.2,1320015,1400541,2720556,72042,573463,2.53,1,0.004454971704313383,23323,1374535,785725,873316,195084,0.008572879955420876,0.505240472903333,0.28881044904056374,0.3210064413303751,0.07170740098715116
los angeles,CA,10100,0.228217822,0.152777778,0.263848397,0.387387387,0.217679558,0.305263158,33.973093,-118.247896,California,35,1958998,2012898,3971896,85417,1485425,2.86,9,0.0025428661777649767,63758,2177650,1936732,404868,512999,0.016052283342766274,0.5482646071296933,0.4876089404153583,0.10193318254052976,0.129157208547253
washington,DC,9340,0.115631692,0.056774194,0.15736505,0.170189099,0.08988764,0.230769231,38.912217,-77.017691,District of Columbia,33.8,319705,352523,672228,25963,95117,2.24,1,0.01389409545570848,6130,285402,71129,328786,35072,0.009118929886883616,0.42456130955568644,0.1058108260887675,0.4890989366702964,0.05217277471334131
houston,TX,7700,0.292207792,0.17373461,0.399258344,0.36637931,0.457142857,0.408163265,29.596156,-95.458709,Texas,32.6,1149686,1148942,2298628,71898,696210,2.66,6,0.00334982432999163,13157,1386389,1028148,529431,173854,0.005723849183077906,0.603137610783476,0.4472876863937966,0.23032478504568812,0.07563381286576167
philadelphia,PA,6045,0.835401158,0.776898734,0.899480069,0.924657534,0.817391304,0,39.864998,-75.275196,Pennsylvania,34.1,741270,826172,1567442,61995,205339,2.61,0,0.0038566020305695523,17500,688130,219038,691186,122721,0.011164687433410614,0.4390146493458769,0.13974233177367967,0.44096432276281994,0.0782938060866048
phoenix,AZ,4475,0.311731844,0.270801815,0.427350427,0.52173913,0.427710843,0,33.451,-112.0685,Arizona,33.8,786833,776168,1563001,72388,300702,2.89,6,0.002863081981393486,41748,1161455,669914,132939,66403,0.02671015565569056,0.7430929346814238,0.42860753128117,0.08505368838535612,0.042484297834742266
san diego,CA,4460,0.362107623,0.372983871,0.348484848,0.538461538,0.297794118,0.515625,32.71852,-117.159316,California,34.5,693826,701081,1394907,92489,373842,2.73,2,0.0031973457728723133,16496,949388,425414,111650,267222,0.011825877997601274,0.6806102485685426,0.30497660417504535,0.08004117837246498,0.1915697605646828
dallas,TX,3605,0.191400832,0.171503958,0.213450292,0.214634146,0.256880734,0,32.996848,-96.792113,Texas,32.6,639019,661063,1300082,41026,326825,2.59,1,0.0027729020169497,17510,839169,549966,322570,47099,0.013468381225184258,0.6454739008770216,0.423024086173026,0.24811511889250062,0.03622771486721607
detroit,MI,3265,0.370597243,0.081967213,0.542787286,0.568,0.333333333,0,42.347429,-83.060398,Michigan,34.8,319265,357859,677124,29511,39861,2.6,2,0.004821864237569485,6007,104260,53980,545988,10804,0.008871344096502266,0.15397475203950828,0.07971951961531418,0.8063338472716962,0.015955718598070663
san francisco,CA,3020,0.316225166,0.259493671,0.378472222,0.186046512,0.253333333,0.486111111,37.775,-122.4183,California,38.3,439752,425064,864816,26276,297199,2.37,4,0.0034920723020850676,8997,442155,132114,53270,324034,0.010403369040350779,0.511270605539213,0.15276544374757173,0.06159691772585151,0.37468548222974596
